ra,dec,b1mag
245.9979,61.514181,3.7
142.88212,63.061881,3.7
89.101223,-14.167698,3.71
237.704023,4.477731,3.71
221.562183,1.892879,3.73
268.382203,56.872642,3.73
136.038668,-47.097738,3.75
266.973168,2.707278,3.75
87.830398,-20.879088,3.76
292.426493,51.729779,3.76
126.434144,-66.13689,3.77
311.918966,-9.495776,3.78
111.431648,27.798078,3.78
318.697759,38.045381,3.78
163.327924,34.214885,3.79
243.859446,-63.685681,3.8
7.886136,-62.958226,3.8
56.049912,-64.806894,3.8
107.186926,-70.498935,3.8
325.369009,-77.390064,3.8
181.720419,-64.613725,3.8
252.446496,-59.04137,3.8
133.761811,-60.644611,3.8
130.156549,-46.648743,3.8
182.912965,-52.36847,3.8
76.101674,-35.482971,3.8
115.884949,-28.41083,3.8
221.500296,-25.443148,3.8
114.575232,-25.364793,3.8
234.66402,-29.777799,3.8
242.998921,-19.460604,3.8
335.414099,-1.387346,3.8
84.686558,-2.600056,3.8
158.202802,9.306579,3.8
296.846952,18.53428,3.8
331.752777,25.345111,3.8
245.480061,19.153146,3.8
65.733717,17.542511,3.8
309.909545,15.912019,3.8
75.619547,41.075846,3.8
56.298462,42.578541,3.8
271.885631,28.762483,3.8
147.74734,59.038762,3.8
354.391028,46.458157,3.8
303.407946,46.741333,3.8
289.2757,53.368459,3.8
42.674201,55.895498,3.8
337.292776,58.415197,3.8
264.866193,46.006336,3.8
337.82292,50.282526,3.8
156.96971,-58.739402,3.81
68.887661,-30.562341,3.81
172.850921,69.331078,3.82
221.96546,-79.044751,3.83
209.567775,-42.100754,3.83
156.522611,-16.836288,3.83
188.116727,-72.132988,3.84
189.425682,-48.541305,3.85
86.821199,-51.066513,3.85
63.500477,-42.294368,3.85
153.683982,-42.121942,3.85
278.801781,-8.244071,3.85
275.92454,21.769753,3.85
239.113261,15.661616,3.85
248.362854,-78.897148,3.86
269.063252,37.250538,3.86
131.506852,-46.041527,3.87
209.669786,-44.803585,3.87
220.765106,-5.658199,3.87
298.118203,1.005661,3.87
148.190906,26.00695,3.88
103.533136,-24.184211,3.89
44.106874,-8.898142,3.89
115.455252,-72.606095,3.9
163.373573,-58.853178,3.9
170.251716,-54.491039,3.9
227.210912,-45.279855,3.9
347.589743,-45.246719,3.9
2.352679,-45.747423,3.9
227.983648,-48.737812,3.9
237.739749,-33.627185,3.9
82.803141,-35.470514,3.9
346.6702,-23.743092,3.9
286.170751,-21.741496,3.9
260.251573,-21.112928,3.9
273.440852,-21.058809,3.9
233.881572,-14.789509,3.9
78.30782,-12.941287,3.9
69.079808,-3.352487,3.9
69.545116,-14.303972,3.9
144.964008,-1.142809,3.9
184.976483,-0.666795,3.9
138.591114,2.314273,3.9
318.955962,5.247864,3.9
235.685737,26.295606,3.9
56.456677,24.367742,3.9
131.171259,18.15431,3.9
255.072394,30.926414,3.9
314.293422,41.167156,3.9
299.076557,35.083426,3.9
14.188444,38.49933,3.9
244.935158,46.313369,3.9
43.564418,52.762495,3.9
188.370664,69.788254,3.9
187.009926,-50.230635,3.91
126.415133,-3.906422,3.91
60.789083,5.989302,3.91
56.07972,32.28824,3.91
167.147457,-58.975038,3.93
22.812934,-49.072703,3.93
6.550841,-43.679829,3.93
241.701774,-20.669192,3.93
255.589147,3.030979,3.93
115.311802,-9.55113,3.94
99.17099,-19.255878,3.95
30.858776,72.421294,3.95
137.819667,-62.316978,3.96
89.78669,-42.815134,3.96
290.971565,-40.615939,3.96
350.742611,-20.100582,3.96
109.207603,-67.957152,3.97
300.148138,-72.910504,3.97
66.009229,-34.016855,3.97
291.479273,21.453328,3.97
341.632828,23.565656,3.97
59.741256,35.791032,3.98
323.495221,45.591837,3.98
156.098779,-74.031611,3.99
30.001286,-21.07783,3.99
135.611649,-66.396075,4.0
280.758896,-71.428114,4.0
349.357423,-58.235735,4.0
216.545046,-45.379278,4.0
290.65956,-44.458961,4.0
117.309564,-46.373226,4.0
337.317405,-43.495567,4.0
244.960103,-50.155501,4.0
206.664082,-51.43277,4.0
215.13931,-37.885298,4.0
130.025575,-35.308357,4.0
95.528466,-33.436404,4.0
202.761088,-39.407296,4.0
48.018612,-28.987488,4.0
290.418167,-17.847198,4.0
247.784879,-16.61274,4.0
49.879169,-21.757888,4.0
260.206914,-12.846885,4.0
71.375658,-3.254668,4.0
78.074602,-11.869193,4.0
122.148534,-2.983786,4.0
130.918217,-7.233726,4.0
337.207884,-0.020129,4.0
270.161319,2.931561,4.0
284.905661,15.068298,4.0
87.872467,39.148503,4.0
131.674245,28.759892,4.0
135.159976,41.782705,4.0
216.299158,51.850746,4.0
62.165311,47.712473,4.0
240.472284,58.565248,4.0
220.489964,-37.793498,4.01
108.702725,-26.772667,4.01
106.027213,20.570299,4.01
307.348898,30.368555,4.01
182.103392,-24.728875,4.02
132.633013,-27.709844,4.02
285.420117,-5.739112,4.02
359.827876,6.863319,4.03
308.303213,11.303276,4.03
34.328616,33.847194,4.03
75.854541,60.442245,4.03
62.966413,-6.837581,4.04
176.464831,6.529371,4.04
338.839089,-0.117498,4.04
124.63146,-76.919724,4.05
219.471776,-49.425827,4.05
342.397924,-13.592631,4.05
170.28414,6.029322,4.05
207.369339,15.797906,4.05
47.26675,49.613278,4.05
184.392819,-67.960736,4.06
254.896033,-53.16044,4.06
220.91433,-35.173657,4.06
170.981078,10.529541,4.06
229.378543,-58.801208,4.07
214.003656,-6.000576,4.07
35.43726,-68.659418,4.08
143.611043,-59.229754,4.08
164.943604,-18.298784,4.08
316.486788,-17.232861,4.08
45.597915,-23.624471,4.08
103.547495,-12.038626,4.08
39.870652,0.328509,4.08
283.833757,43.94609,4.08
107.517634,-2.965757,4.09
237.184902,18.141565,4.09
7.889474,-62.965573,4.1
184.609404,-64.003078,4.1
341.514549,-81.381617,4.1
17.096181,-55.245756,4.1
345.220044,-52.754129,4.1
230.844451,-59.320639,4.1
64.120971,-59.302136,4.1
176.628416,-61.178389,4.1
131.099773,-42.649277,4.1
277.207745,-49.070588,4.1
210.431263,-45.603413,4.1
290.804753,-44.799795,4.1
144.206429,-49.355056,4.1
287.507321,-39.340796,4.1
264.136838,-38.635349,4.1
343.131394,-32.875526,4.1
115.951977,-28.954853,4.1
238.402996,-25.32715,4.1
137.011999,-25.85854,4.1
298.959824,-26.2995,4.1
246.756034,-18.456292,4.1
141.826708,-22.343807,4.1
171.220526,-17.683962,4.1
49.592102,-22.511112,4.1
93.71389,-6.274776,4.1
122.817957,-12.926989,4.1
139.943263,-11.974856,4.1
30.511768,2.763731,4.1
107.966082,-0.492764,4.1
52.718244,12.936678,4.1
233.700612,10.538911,4.1
11.834733,24.267141,4.1
320.521674,19.804512,4.1
220.181467,16.418359,4.1
239.396883,26.877869,4.1
113.980621,26.895739,4.1
56.581555,23.948338,4.1
97.240782,20.212139,4.1
24.199346,41.405458,4.1
233.232422,31.359113,4.1
63.724429,48.409326,4.1
355.102127,44.333936,4.1
25.915155,50.688733,4.1
12.277128,57.815626,4.1
41.049903,49.228504,4.1
158.867119,-78.607785,4.11
234.180095,-66.317037,4.11
129.410971,-42.98908,4.11
287.368089,-37.904474,4.11
40.16681,-39.855377,4.11
105.939553,-15.633284,4.11
147.869555,-14.846608,4.11
39.897335,-68.266948,4.12
298.815391,-41.868277,4.12
312.955377,-26.919129,4.12
181.30225,8.732964,4.12
311.523885,-25.270898,4.13
238.456408,-16.729294,4.13
80.986784,-7.808064,4.13
354.987671,5.626293,4.13
129.414032,5.703783,4.14
333.992403,37.748737,4.14
247.728451,1.983889,4.15
261.592567,-24.175309,4.16
57.363521,-36.200245,4.17
334.208487,-7.78329,4.17
8.249965,62.931783,4.17
249.093632,-35.255326,4.18
213.223938,-10.273703,4.18
214.09591,46.088306,4.18
207.361336,-34.450775,4.19
336.833272,-64.966354,4.2
121.982452,-68.617067,4.2
250.769393,-77.517437,4.2
147.919446,-46.547616,4.2
222.909598,-43.57536,4.2
241.648108,-36.802285,4.2
206.421864,-33.043726,4.2
109.576641,-36.733956,4.2
340.163934,-27.043619,4.2
288.885099,-25.25668,4.2
119.21475,-22.880121,4.2
80.112094,-21.239711,4.2
349.21225,-7.726491,4.2
348.58065,-6.049011,4.2
63.598689,-10.256268,4.2
246.950749,-8.371679,4.2
304.411957,-12.508214,4.2
348.972897,-9.087736,4.2
294.180336,-1.286674,4.2
281.793642,-4.747871,4.2
142.995521,-1.184667,4.2
275.914926,-8.934416,4.2
92.984957,14.208758,4.2
91.030112,23.26339,4.2
281.415526,20.546304,4.2
56.302048,24.467258,4.2
156.970856,36.707233,4.2
112.277993,31.784509,4.2
248.52574,42.437006,4.2
319.353971,39.394689,4.2
52.267286,59.940297,4.2
201.306386,54.987955,4.2
326.698469,49.309554,4.2
307.395446,62.99409,4.2
275.189204,71.337811,4.2
251.492668,82.037252,4.2
321.610857,-65.366198,4.21
283.054313,-62.187594,4.22
118.325661,-48.102934,4.22
56.712032,-23.249724,4.22
271.364044,2.499795,4.22
283.626184,36.898612,4.22
42.646081,38.318644,4.22
5.017749,-64.874791,4.23
210.411639,1.544532,4.23
197.968308,27.878181,4.23
184.586762,-79.312237,4.24
36.746342,-47.703841,4.24
247.845556,-34.704366,4.24
265.353639,-12.875307,4.24
17.186972,86.257089,4.24
193.359158,-40.17887,4.25
77.286599,-8.754084,4.25
125.708794,43.188135,4.25
326.362189,61.120806,4.25
61.646012,50.351262,4.25
49.981878,-43.069784,4.26
64.006607,-51.486649,4.26
26.348468,9.157757,4.26
63.883572,8.892354,4.27
351.992061,6.378992,4.27
15.735869,7.890133,4.27
156.787923,-31.067777,4.28
261.838646,-29.867035,4.28
320.561651,-16.834542,4.28
66.576929,22.813581,4.28
332.496847,33.178221,4.28
303.349442,56.567721,4.28
17.375538,47.241782,4.28
144.272038,81.326381,4.28
79.893855,-13.176787,4.29
331.609292,-13.869678,4.29
54.218266,0.401662,4.29
354.534173,43.268074,4.29
236.014666,77.794495,4.29
180.756274,-63.312912,4.3
125.160587,-77.484476,4.3
130.154293,-59.760993,4.3
193.648486,-57.177925,4.3
69.189996,-62.077162,4.3
128.832133,-58.009227,4.3
215.081427,-56.386497,4.3
159.687495,-59.182988,4.3
159.826632,-55.603267,4.3
215.65447,-58.459069,4.3
196.727668,-49.906245,4.3
337.439326,-43.7492,4.3
326.236722,-33.025785,4.3
343.9871,-32.539638,4.3
123.51217,-40.347896,4.3
337.8764,-32.346074,4.3
14.651497,-29.357453,4.3
307.214927,-17.814042,4.3
283.779751,-22.671314,4.3
53.447027,-21.632883,4.3
188.017611,-16.196007,4.3
41.030609,-13.858714,4.3
39.890925,-11.872141,4.3
174.237214,-0.823749,4.3
69.539423,12.51084,4.3
134.621732,11.857696,4.3
41.235597,10.114139,4.3
81.709269,3.095653,4.3
132.1082,5.837809,4.3
37.039764,8.460065,4.3
130.806148,3.398662,4.3
311.664582,16.124292,4.3
70.561268,22.956933,4.3
288.439517,39.145968,4.3
188.435602,41.357474,4.3
231.122619,37.377174,4.3
311.852196,36.490786,4.3
89.983747,45.936735,4.3
242.192414,44.934912,4.3
73.512582,66.342689,4.3
216.881434,75.695999,4.3
216.730146,-83.667883,4.31
241.851361,-20.868762,4.31
83.05313,18.594234,4.32
142.930112,22.967972,4.32
93.844534,29.498078,4.32
54.122414,48.192634,4.32
272.145059,-63.668546,4.33
193.278777,-48.943314,4.33
274.965457,36.064548,4.33
169.545423,31.529136,4.33
311.415642,30.719716,4.33
86.193242,-65.735523,4.34
139.050301,-57.541473,4.34
261.62867,4.14036,4.34
326.127899,17.350018,4.34
9.638944,29.311753,4.34
17.775676,55.1499,4.34
98.744083,-52.975608,4.35
229.457663,-30.148676,4.35
72.653015,8.900179,4.35
47.907353,19.726672,4.35
186.73447,28.268422,4.35
289.09206,38.133734,4.35
263.054181,86.586461,4.35
211.511531,-41.179632,4.36
104.034269,-17.054241,4.36
61.173814,22.081927,4.36
52.643688,47.995218,4.36
165.0386,-42.225857,4.37
94.138064,-35.140519,4.37
0.490082,-6.014071,4.37
353.242727,-37.818284,4.38
351.51161,-20.642013,4.38
28.411426,-46.302666,4.39
225.725157,2.091306,4.39
253.501965,10.165359,4.39
295.262245,17.476044,4.39
57.380343,65.525973,4.39
18.942315,-68.875972,4.4
284.237621,-67.233495,4.4
177.421116,-63.788474,4.4
212.478377,-53.438952,4.4
191.408544,-60.981304,4.4
275.806783,-61.493893,4.4
134.080242,-52.723486,4.4
329.479499,-54.99258,4.4
10.838516,-57.463064,4.4
102.463812,-53.622439,4.4
119.560143,-49.244924,4.4
127.364516,-44.724856,4.4
135.022531,-41.25361,4.4
70.140472,-41.863748,4.4
89.384213,-35.283284,4.4
299.934085,-35.276308,4.4
44.568454,-40.304742,4.4
109.677127,-24.954399,4.4
38.461283,-28.23233,4.4
208.30226,-31.927613,4.4
133.881525,-27.681876,4.4
114.707786,-26.803835,4.4
97.964064,-23.41845,4.4
336.642863,-16.742214,4.4
122.25682,-19.245015,4.4
197.487471,-5.538978,4.4
33.249986,8.846721,4.4
95.942037,4.592869,4.4
293.522308,7.378931,4.4
270.438325,1.305075,4.4
151.984526,-0.371659,4.4
83.705161,9.489573,4.4
90.59581,9.647286,4.4
310.864721,15.074579,4.4
66.342361,22.293866,4.4
14.301665,23.417644,4.4
66.372431,17.927901,4.4
272.189554,20.814557,4.4
281.755279,18.181504,4.4
91.893029,14.768478,4.4
9.220214,33.719344,4.4
337.621916,43.123355,4.4
319.479439,34.896858,4.4
281.193139,37.605108,4.4
335.890094,52.229051,4.4
288.887547,73.355473,4.4
302.222327,77.711429,4.4
349.705999,-32.532016,4.41
215.759327,-39.511819,4.41
349.475895,-9.182519,4.41
262.684624,26.110645,4.41
222.572119,-27.96037,4.42
351.344932,23.404101,4.42
165.582398,20.179843,4.42
300.664504,-27.709843,4.43
56.535566,-12.101589,4.43
311.934326,-5.0277,4.43
305.965091,32.190172,4.43
218.154402,-50.457158,4.44
124.638804,-36.659289,4.44
122.839557,-39.618545,4.44
3.660067,-18.932865,4.44
113.513253,-22.296065,4.44
12.170601,7.585079,4.44
82.696045,5.948118,4.44
292.176375,24.664906,4.44
161.445842,-80.540188,4.45
158.897074,-57.557636,4.45
346.719711,-43.520353,4.45
233.785291,-41.166811,4.45
248.034167,-21.46639,4.45
169.165417,-3.651601,4.45
25.357891,5.487612,4.45
129.689321,3.341436,4.45
330.947718,64.62797,4.45
220.287126,13.72841,4.46
137.217736,51.604649,4.46
136.286725,-72.602705,4.47
177.786216,-45.173469,4.47
97.042534,-32.58007,4.47
331.528688,-39.543351,4.47
224.295834,-4.346462,4.47
98.225951,7.332966,4.47
74.637096,1.714017,4.47
50.084839,29.048459,4.47
218.670071,29.745128,4.47
143.705968,52.051477,4.47
60.224197,-62.159285,4.48
246.025754,-20.037323,4.48
345.969223,3.820045,4.48
163.903339,24.749723,4.48
359.979077,-65.577132,4.49
108.140107,-46.759304,4.49
68.377302,-29.766492,4.49
355.51169,1.78004,4.49
151.857341,35.244695,4.49
87.456927,-56.166665,4.5
131.677288,-56.769777,4.5
200.65809,-60.988394,4.5
168.150071,-60.317632,4.5
155.2283,-56.043225,4.5
272.807345,-45.95441,4.5
114.342124,-34.968516,4.5
332.095875,-32.98847,4.5
42.272589,-32.405893,4.5
231.334248,-38.733631,4.5
316.781951,-25.005856,4.5
167.914553,-22.825852,4.5
322.180835,-21.80718,4.5
272.930571,-23.701237,4.5
112.464251,-23.024302,4.5
228.055356,-19.791743,4.5
98.764087,-22.964807,4.5
317.398535,-11.371692,4.5
355.680609,-14.54491,4.5
3.615114,-7.780521,4.5
261.657784,-5.08656,4.5
214.777469,-13.371096,4.5
73.22363,-5.45269,4.5
352.288747,12.760558,4.5
68.913589,10.160799,4.5
101.965199,2.412162,4.5
84.796443,4.121466,4.5
93.719431,22.506775,4.5
206.815604,17.456882,4.5
176.996395,20.218933,4.5
141.163576,26.182318,4.5
4.272903,38.681654,4.5
12.453537,41.07891,4.5
333.469716,39.71493,4.5
340.128579,44.276306,4.5
94.905755,59.011003,4.5
313.311477,44.387273,4.5
335.256451,46.536571,4.5
333.758964,57.043559,4.5
294.110542,50.221086,4.5
74.321627,53.752102,4.5
11.18127,48.284369,4.5
311.338035,57.579725,4.5
144.837492,-61.32806,4.51
311.009726,-51.920971,4.51
142.311333,-35.951336,4.51
324.270128,-19.466012,4.51
4.581907,36.785225,4.51
17.915151,30.089644,4.51
358.595972,57.499383,4.51
300.704467,67.873564,4.51
201.002012,-64.535668,4.52
226.111428,26.947647,4.52
41.977257,29.24712,4.52
266.8901,-27.830786,4.53
90.013959,-3.074254,4.53
348.137514,49.406206,4.53
230.788959,-36.858489,4.54
299.236796,-27.169899,4.54
346.751086,9.409492,4.54
143.555757,36.397558,4.54
143.620249,69.830342,4.54
272.020747,-28.457093,4.55
